Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh),Year
City of Salem,OR,Cooperative,18545,315984,23043,7.29,2011
City of Salem,OR,Cooperative,18578,312073,24613,7.8869367,2012
City of Salem,OR,Cooperative,18759,320328,25448,7.944357,2013
City of Salem,OR,Cooperative,19074,315922,25920,8.2045568,2014
City of Springfield,OR,Public,30413,37687,736967,5.113797497,2004
City of Springfield,OR,Public,30774,39764,783217,5.077009309,2005
City of Springfield,OR,Public,31056,43742,807908,5.4142303332,2006
City of Springfield,OR,Public,31181,47355,805268,5.88,2007
City of Springfield,OR,Public,31297,829208,43556,5.25,2008
City of Springfield,OR,Public,31412,816347,43019,5.27,2009
City of Springfield,OR,Public,31502,808082,42165,5.22,2010
City of Springfield,OR,Public,31591,815105,42761,5.25,2011
City of Springfield,OR,Municipal,31695,811908,43946,5.4126822,2012
City of Springfield,OR,Municipal,31764,835051,48434,5.8001248,2013
City of Springfield,OR,Municipal,31791,786540,47000,5.9755384,2014
Clatskanie Peoples Util Dist,OR,Public,4600,970782,42434,4.37,2011
Clatskanie Peoples Util Dist,OR,Political Subdivision,4609,970591,42013,4.3285998,2012
Clatskanie Peoples Util Dist,OR,Political Subdivision,4610,936118,43172.9,4.6119079,2013
Clatskanie Peoples Util Dist,OR,Political Subdivision,4590,902060,44196.5,4.8995078,2014
Clearwater Power Company,OR,Cooperative,157,1704,171.1,10.04,2011
Clearwater Power Company,OR,Cooperative,156,1669,175.7,10.527262,2012
Clearwater Power Company,OR,Cooperative,157,1744,180.6,10.355505,2013
Clearwater Power Company,OR,Cooperative,158,1775,191.1,10.766197,2014
Tillamook Peoples Utility Dist,OR,Public,19025,26889,386834,6.9510436001,2004
Tillamook Peoples Utility Dist,OR,Public,19208,27841,402184,6.9224534044,2005
Tillamook Peoples Utility Dist,OR,Public,19831,28485,416658,6.8365422001,2006
Tillamook Peoples Utility Dist,OR,Public,20075,27989,428316,6.53,2007
Tillamook Peoples Utility Dist,OR,Public,20352,440203,28511,6.48,2008
Tillamook Peoples Utility Dist,OR,Public,20424,449978,29796,6.62,2009
Tillamook Peoples Utility Dist,OR,Public,20504,457084,30744,6.73,2010
Tillamook Peoples Utility Dist,OR,Public,20536,475451,32502,6.84,2011
Tillamook Peoples Utility Dist,OR,Public,20536,475451,32502,6.84,2011
Tillamook Peoples Utility Dist,OR,Political Subdivision,20585,460767,32978,7.1571966,2012
Tillamook Peoples Utility Dist,OR,Political Subdivision,20604,468865,34815.2,7.425421,2013
Tillamook Peoples Utility Dist,OR,Political Subdivision,20625,451861,34013,7.5273148,2014
Umatilla Electric Coop Assn,OR,Cooperative,13218,42290,812599,5.2042889543,2004
Umatilla Electric Coop Assn,OR,Cooperative,13353,43861,836073,5.2460730104,2005
Umatilla Electric Coop Assn,OR,Cooperative,13530,40671,807173,5.038696785,2006
Umatilla Electric Coop Assn,OR,Cooperative,13681,43124,874855,4.93,2007
Umatilla Electric Coop Assn,OR,Cooperative,13795,911485,47888,5.25,2008
Umatilla Electric Coop Assn,OR,Cooperative,14463,926838,48052.2,5.18,2009
Umatilla Electric Coop Assn,OR,Cooperative,14042,883081,48604.8,5.5,2010
Umatilla Electric Coop Assn,OR,Cooperative,14138,922432,50302.2,5.45,2011
Umatilla Electric Coop Assn,OR,Cooperative,14254,973381,53772.7,5.5243219,2012
Umatilla Electric Coop Assn,OR,Cooperative,14392,1085391,60734.2,5.5956056,2013
Umatilla Electric Coop Assn,OR,Cooperative,14507,1347465,75556.8,5.6073293,2014
"Wasco Electric Coop, Inc",OR,Cooperative,4530,5485,88783,6.1779845241,2004
"Wasco Electric Coop, Inc",OR,Cooperative,4547,5596,88785,6.3028664752,2005
"Wasco Electric Coop, Inc",OR,Cooperative,4547,6100,92541,6.5916728801,2006
"Wasco Electric Coop, Inc",OR,Cooperative,4603,7255,95782,7.57,2007
"Wasco Electric Coop, Inc",OR,Cooperative,4609,99721,7508,7.53,2008
"Wasco Electric Coop, Inc",OR,Cooperative,4631,107525,7902,7.35,2009
"Wasco Electric Coop, Inc",OR,Cooperative,4616,105993,8163,7.7,2010
"Wasco Electric Coop, Inc",OR,Cooperative,4610,107460,8502,7.91,2011
"Wasco Electric Coop, Inc",OR,Cooperative,4633,107307,9363,8.7254326,2012
"Wasco Electric Coop, Inc",OR,Cooperative,4629,107256,9405,8.7687402,2013
"Wasco Electric Coop, Inc",OR,Cooperative,4624,106404,9959,9.3596105,2014
