Country or Area,City,Year,Record Type,Value
Algeria,Stif (Sétif),1998,Census - de jure - complete tabulation,214842
Algeria,Tbessa,1998,Census - de jure - complete tabulation,154335
Algeria,Tihert,1998,Census - de jure - complete tabulation,148850
Algeria,Tilimsen (Tlemcen),1998,Census - de jure - complete tabulation,156258
Algeria,Touggourt,1998,Census - de jure - complete tabulation,114183
Algeria,Wahran (Oran),1998,Census - de jure - complete tabulation,705335
Algeria,Wargla,1998,Census - de jure - complete tabulation,139381
American Samoa,PAGO PAGO,2000,Census - de jure - complete tabulation,4278
American Samoa,PAGO PAGO,2010,Census - de jure - complete tabulation,3656
Anguilla,THE VALLEY,2001,Estimate - de facto,4904
Antigua and Barbuda,ST. JOHN,1991,Census - de facto - complete tabulation,22342
Argentina,Avellaneda,1991,Census - de facto - complete tabulation,344024
Argentina,Bahía Blanca-Cerri,1991,Census - de facto - complete tabulation,260096
Argentina,BUENOS AIRES,1991,Census - de facto - complete tabulation,2965403
Argentina,Catamarca,1991,Census - de facto - complete tabulation,109882
Argentina,Comodoro Rivadavia-Rada Tilly,1991,Census - de facto - complete tabulation,124104
Argentina,Concordia,1991,Census - de facto - complete tabulation,116485
Argentina,Córdoba,1991,Census - de facto - complete tabulation,1157507
Argentina,Corrientes,1991,Census - de facto - complete tabulation,258103
Argentina,Formosa,1991,Census - de facto - complete tabulation,147636
Argentina,General San Martín,1991,Census - de facto - complete tabulation,406809
Argentina,La Matanza,1991,Census - de facto - complete tabulation,1120088
Argentina,La Plata,1991,Census - de facto - complete tabulation,521936
Argentina,Lanus,1991,Census - de facto - complete tabulation,468561
Argentina,Lomas de Zamora,1991,Census - de facto - complete tabulation,574330
Argentina,Mar del Plata-Batán,1991,Census - de facto - complete tabulation,512880
Argentina,Mendoza,1991,Census - de facto - complete tabulation,121620
Argentina,Morón,1991,Census - de facto - complete tabulation,643553
Argentina,Neuquén-Plottier,1991,Census - de facto - complete tabulation,167296
Argentina,Paraná,1991,Census - de facto - complete tabulation,207041
Argentina,Posadas,1991,Census - de facto - complete tabulation,201273
Argentina,Quilmes,1991,Census - de facto - complete tabulation,511234
Argentina,Resistencia,1991,Census - de facto - complete tabulation,229212
Argentina,Río Cuarto,1991,Census - de facto - complete tabulation,134355
Argentina,Rosario,1991,Census - de facto - complete tabulation,907718
Argentina,Salta,1991,Census - de facto - complete tabulation,367550
Argentina,San Fernando,1991,Census - de facto - complete tabulation,141063
Argentina,San Isidro,1991,Census - de facto - complete tabulation,299023
Argentina,San Juan,1991,Census - de facto - complete tabulation,119423
Argentina,San Miguel de Tucumán,1991,Census - de facto - complete tabulation,470809
Argentina,San Nicolás-Villa Constitución,1991,Census - de facto - complete tabulation,119302
Argentina,San Salvador de Jujuy-Palpalá,1991,Census - de facto - complete tabulation,178748
Argentina,Santa Fé,1991,Census - de facto - complete tabulation,353063
Argentina,Santiago del Estero-La Banda,1991,Census - de facto - complete tabulation,189947
Argentina,Vicente López,1991,Census - de facto - complete tabulation,289505
Armenia,Gyumri (Leninakan),2001,Census - de jure - complete tabulation,150917
Armenia,Gyumri (Leninakan),2004,Estimate - de jure,149200
Armenia,Gyumri (Leninakan),2006,Estimate - de jure,148000
Armenia,Gyumri (Leninakan),2007,Estimate - de jure,147350
Armenia,Gyumri (Leninakan),2008,Estimate - de jure,146704
Armenia,Gyumri (Leninakan),2009,Estimate - de jure,146355
Armenia,Gyumri (Leninakan),2011,Census - de jure - complete tabulation,121976
Armenia,Vanadzoz (Kirovakan),2001,Census - de jure - complete tabulation,107394
Armenia,Vanadzoz (Kirovakan),2004,Estimate - de jure,105900
Armenia,Vanadzoz (Kirovakan),2006,Estimate - de jure,105300
Armenia,Vanadzoz (Kirovakan),2007,Estimate - de jure,105100
Armenia,Vanadzoz (Kirovakan),2008,Estimate - de jure,104886
Armenia,Vanadzoz (Kirovakan),2009,Estimate - de jure,104825
Armenia,YEREVAN,2001,Census - de jure - complete tabulation,1103488
Armenia,YEREVAN,2004,Estimate - de jure,1102427
Armenia,YEREVAN,2006,Estimate - de jure,1104398
Armenia,YEREVAN,2007,Estimate - de jure,1106383
Armenia,YEREVAN,2008,Estimate - de jure,1109580
Armenia,YEREVAN,2009,Estimate - de jure,1116648
Armenia,YEREVAN,2011,Census - de jure - complete tabulation,1060138
Aruba,ORANJESTAD,1991,Census - de jure - complete tabulation,20045
Aruba,ORANJESTAD,2010,Census - de jure - complete tabulation,28295
Australia,Adelaide,2001,Census - de jure - complete tabulation,1066103
Australia,Adelaide,2003,Estimate - de jure,1119097
Australia,Adelaide,2004,Estimate - de jure,1123199
Australia,Adelaide,2005,Estimate - de jure,1129145
Australia,Adelaide,2006,Census - de jure - complete tabulation,1040717
Australia,Adelaide,2007,Estimate - de jure,1158259
Australia,Adelaide,2008,Estimate - de jure,1172105
Australia,Adelaide,2009,Estimate - de jure,1187466
Australia,Adelaide,2010,Estimate - de jure,1203186
Australia,Adelaide,2011,Census - de jure - complete tabulation,1198468
Australia,Adelaide,2012,Estimate - de jure,1250795
Australia,Albury-Wodonga,2003,Estimate - de jure,100182
Australia,Albury-Wodonga,2004,Estimate - de jure,101602
Australia,Albury-Wodonga,2005,Estimate - de jure,100175
Australia,Albury-Wodonga,2007,Estimate - de jure,101842
Australia,Albury-Wodonga,2008,Estimate - de jure,102894
Australia,Albury-Wodonga,2009,Estimate - de jure,104609
Australia,Albury-Wodonga,2010,Estimate - de jure,106052
Australia,Brisbane,2001,Census - de jure - complete tabulation,1608820
Australia,Brisbane,2003,Estimate - de jure,1735181
Australia,Brisbane,2004,Estimate - de jure,1777667
Australia,Brisbane,2005,Estimate - de jure,1790921
Australia,Brisbane,2006,Census - de jure - complete tabulation,1676390
Australia,Brisbane,2007,Estimate - de jure,1857594
Australia,Brisbane,2008,Estimate - de jure,1945639
Australia,Brisbane,2009,Estimate - de jure,2004262
Australia,Brisbane,2010,Estimate - de jure,2043185
Australia,Brisbane,2011,Census - de jure - complete tabulation,1977315
Australia,Brisbane,2012,Estimate - de jure,2099328
Australia,Cairns,2001,Census - de jure - complete tabulation,16314
Australia,Cairns,2003,Estimate - de jure,117531
Australia,Cairns,2004,Estimate - de jure,120483
Australia,Cairns,2005,Estimate - de jure,123775
Australia,Cairns,2007,Estimate - de jure,135856
Australia,Cairns,2008,Estimate - de jure,142001
Australia,Cairns,2009,Estimate - de jure,147118
Australia,Cairns,2010,Estimate - de jure,150920
Australia,Cairns,2011,Estimate - de jure,139693
Australia,Cairns,2012,Estimate - de jure,142124
Australia,CANBERRA,2001,Census - de jure - complete tabulation,308764
Australia,CANBERRA,2003,Estimate - de jure,323004
Australia,CANBERRA,2004,Estimate - de jure,323743
Australia,CANBERRA,2005,Estimate - de jure,325405
Australia,CANBERRA,2006,Census - de jure - complete tabulation,322036
Australia,CANBERRA,2007,Estimate - de jure,339573
Australia,CANBERRA,2008,Estimate - de jure,345257
Australia,CANBERRA,2009,Estimate - de jure,351868
Australia,CANBERRA,2010,Estimate - de jure,358222
Australia,CANBERRA,2011,Census - de jure - complete tabulation,356585
Australia,Canberra-Queanbeyan,2010,Estimate - de jure,410419
Australia,Canberra-Queanbeyan,2011,Estimate - de jure,404559
Australia,Canberra-Queanbeyan,2012,Estimate - de jure,412049
Australia,Central Coast,2006,Census - de jure - complete tabulation,282725
Australia,Central Coast,2012,Estimate - de jure,317517
Australia,Darwin,2001,Census - de jure - complete tabulation,106476
Australia,Darwin,2003,Estimate - de jure,108039
Australia,Darwin,2004,Estimate - de jure,109432
Australia,Darwin,2005,Estimate - de jure,111179
Australia,Darwin,2007,Estimate - de jure,117395
Australia,Darwin,2008,Estimate - de jure,120652
Australia,Darwin,2009,Estimate - de jure,124760
Australia,Darwin,2010,Estimate - de jure,127532
Australia,Darwin,2011,Census - de jure - complete tabulation,106255
Australia,Darwin,2012,Estimate - de jure,116215
Australia,Geelong,2003,Estimate - de jure,162637
Australia,Geelong,2004,Estimate - de jure,164134
Australia,Geelong,2005,Estimate - de jure,165827
Australia,Geelong,2006,Census - de jure - complete tabulation,137222
Australia,Geelong,2007,Estimate - de jure,169544
Australia,Geelong,2008,Estimate - de jure,172300
Australia,Geelong,2009,Estimate - de jure,175803
Australia,Geelong,2010,Estimate - de jure,178650
Australia,Geelong,2011,Estimate - de jure,177023
Australia,Geelong,2012,Estimate - de jure,179689
Australia,Gold Coast,2003,Estimate - de jure,456908
Australia,Gold Coast,2004,Estimate - de jure,470408
Australia,Gold Coast,2005,Estimate - de jure,540115
Australia,Gold Coast,2007,Estimate - de jure,583657
Australia,Gold Coast,2008,Estimate - de jure,493425
Australia,Gold Coast-Tweed Heads,2006,Census - de jure - complete tabulation,402647
Australia,Gold Coast-Tweed Heads,2009,Estimate - de jure,577977
Australia,Gold Coast-Tweed Heads,2010,Estimate - de jure,591473
Australia,Gold Coast-Tweed Heads,2011,Estimate - de jure,579909
Australia,Gold Coast-Tweed Heads,2012,Estimate - de jure,592389
Australia,Greater Adelaide,2011,Estimate - de jure,1262940
Australia,Greater Adelaide,2012,Estimate - de jure,1278432
Australia,Greater Brisbane,2011,Estimate - de jure,2146577
Australia,Greater Brisbane,2012,Estimate - de jure,2192065
Australia,Greater Darwin,2011,Estimate - de jure,129062
Australia,Greater Darwin,2012,Estimate - de jure,131938
Australia,Greater Hobart,2011,Estimate - de jure,216276
Australia,Greater Hobart,2012,Estimate - de jure,216981
Australia,Greater Melbourne,2011,Estimate - de jure,4169103
Australia,Greater Melbourne,2012,Estimate - de jure,4248344
Australia,Greater Perth,2011,Estimate - de jure,1832114
Australia,Greater Perth,2012,Estimate - de jure,1899999
Australia,Greater Sydney,2011,Estimate - de jure,4605992
Australia,Greater Sydney,2012,Estimate - de jure,4672619
Australia,Greater Wollongong,2001,Census - de jure - complete tabulation,181612
Australia,Greater Wollongong,2003,Estimate - de jure,273234
Australia,Greater Wollongong,2004,Estimate - de jure,273870
Australia,Greater Wollongong,2005,Estimate - de jure,274838
Australia,Greater Wollongong,2006,Census - de jure - complete tabulation,234482
Australia,Greater Wollongong,2007,Estimate - de jure,280159
Australia,Greater Wollongong,2008,Estimate - de jure,284169
Australia,Greater Wollongong,2009,Estimate - de jure,288984
Australia,Greater Wollongong,2010,Estimate - de jure,292190
Australia,Hobart,2001,Census - de jure - complete tabulation,190161
Australia,Hobart,2003,Estimate - de jure,199926
Australia,Hobart,2004,Estimate - de jure,202182
Australia,Hobart,2005,Estimate - de jure,203527
Australia,Hobart,2006,Census - de jure - complete tabulation,128579
Australia,Hobart,2007,Estimate - de jure,207484
Australia,Hobart,2008,Estimate - de jure,209287
Australia,Hobart,2009,Estimate - de jure,212019
Australia,Hobart,2010,Estimate - de jure,214705
Australia,Hobart,2011,Census - de jure - complete tabulation,200501
Australia,Hobart,2012,Estimate - de jure,205557
Australia,Launceston,2001,Census - de jure - complete tabulation,417
Australia,Launceston,2003,Estimate - de jure,100664
Australia,Launceston,2004,Estimate - de jure,102007
Australia,Launceston,2005,Estimate - de jure,103221
Australia,Launceston,2007,Estimate - de jure,104071
Australia,Launceston,2008,Estimate - de jure,104649
Australia,Launceston,2009,Estimate - de jure,105445
Australia,Launceston,2010,Estimate - de jure,106153
Australia,Melbourne,2001,Census - de jure - complete tabulation,3338704
Australia,Melbourne,2003,Estimate - de jure,3555321
Australia,Melbourne,2004,Estimate - de jure,3592975
Australia,Melbourne,2005,Estimate - de jure,3635508
Australia,Melbourne,2006,Census - de jure - complete tabulation,3371888
Australia,Melbourne,2007,Estimate - de jure,3806092
Australia,Melbourne,2008,Estimate - de jure,3892419
Australia,Melbourne,2009,Estimate - de jure,3995537
Australia,Melbourne,2010,Estimate - de jure,4077036
Australia,Melbourne,2011,Census - de jure - complete tabulation,3847570
Australia,Melbourne,2012,Estimate - de jure,4086734
Australia,Newcastle,2001,Census - de jure - complete tabulation,4738
Australia,Newcastle,2003,Estimate - de jure,501335
Australia,Newcastle,2004,Estimate - de jure,504656
Australia,Newcastle,2005,Estimate - de jure,508597
Australia,Newcastle,2006,Census - de jure - complete tabulation,288733
Australia,Newcastle,2007,Estimate - de jure,523662
Australia,Newcastle,2008,Estimate - de jure,531191
Australia,Newcastle,2009,Estimate - de jure,540796
Australia,Newcastle,2010,Estimate - de jure,546788
Australia,Newcastle-Maitland,2011,Estimate - de jure,413962
Australia,Newcastle-Maitland,2012,Estimate - de jure,420850
Australia,Perth,2001,Census - de jure - complete tabulation,1325392
Australia,Perth,2003,Estimate - de jure,1431498
Australia,Perth,2004,Estimate - de jure,1454606
Australia,Perth,2005,Estimate - de jure,1478039
Australia,Perth,2006,Census - de jure - complete tabulation,1256037
Australia,Perth,2007,Estimate - de jure,1554769
Australia,Perth,2008,Estimate - de jure,1602559
Australia,Perth,2009,Estimate - de jure,1658992
Australia,Perth,2010,Estimate - de jure,1696065
Australia,Perth,2011,Census - de jure - complete tabulation,1670953
Australia,Perth,2012,Estimate - de jure,1834184
Australia,Sunshine Coast,2003,Estimate - de jure,200366
Australia,Sunshine Coast,2004,Estimate - de jure,207553
Australia,Sunshine Coast,2005,Estimate - de jure,215059
Australia,Sunshine Coast,2006,Census - de jure - complete tabulation,184662
Australia,Sunshine Coast,2007,Estimate - de jure,230429
Australia,Sunshine Coast,2008,Estimate - de jure,237562
Australia,Sunshine Coast,2009,Estimate - de jure,245309
Australia,Sunshine Coast,2010,Estimate - de jure,251081
Australia,Sunshine Coast,2011,Estimate - de jure,279870
Australia,Sunshine Coast,2012,Estimate - de jure,286497
Australia,Sydney,2001,Census - de jure - complete tabulation,3948015
Australia,Sydney,2003,Estimate - de jure,4198543
Australia,Sydney,2004,Estimate - de jure,4225088
Australia,Sydney,2005,Estimate - de jure,4255954
Australia,Sydney,2006,Census - de jure - complete tabulation,3641418
Australia,Sydney,2007,Estimate - de jure,4336374
Australia,Sydney,2008,Estimate - de jure,4399722
Australia,Sydney,2009,Estimate - de jure,4504469
Australia,Sydney,2010,Estimate - de jure,4575532
Australia,Sydney,2011,Census - de jure - complete tabulation,4028524
Australia,Sydney,2012,Estimate - de jure,4293416
Australia,Toowoomba,2001,Census - de jure - complete tabulation,13808
Australia,Toowoomba,2003,Estimate - de jure,113815
Australia,Toowoomba,2004,Estimate - de jure,116266
Australia,Toowoomba,2005,Estimate - de jure,119486
Australia,Toowoomba,2007,Estimate - de jure,123406
Australia,Toowoomba,2008,Estimate - de jure,125339
Australia,Toowoomba,2009,Estimate - de jure,128600
Australia,Toowoomba,2010,Estimate - de jure,131258
Australia,Toowoomba,2011,Estimate - de jure,108933
Australia,Toowoomba,2012,Estimate - de jure,110855
Australia,Townsville,2001,Census - de jure - complete tabulation,2312
Australia,Townsville,2003,Estimate - de jure,140761
Australia,Townsville,2004,Estimate - de jure,144417
Australia,Townsville,2005,Estimate - de jure,149207
Australia,Townsville,2006,Census - de jure - complete tabulation,128806
Australia,Townsville,2007,Estimate - de jure,157174
Australia,Townsville,2008,Estimate - de jure,162730
Australia,Townsville,2009,Estimate - de jure,168402
Australia,Townsville,2010,Estimate - de jure,172316
Australia,Townsville,2011,Estimate - de jure,167847
Australia,Townsville,2012,Estimate - de jure,171824
Australia,Wollongong,2011,Estimate - de jure,280705
Australia,Wollongong,2012,Estimate - de jure,283243
Austria,Bregenz,2001,Census - de jure - complete tabulation,26752
Austria,Bregenz,2005,Estimate - de jure,123902
Austria,Bregenz,2009,Estimate - de jure,27309
Austria,Bregenz,2010,Estimate - de jure,27456
Austria,Bregenz,2011,Census - de jure - complete tabulation,27831
Austria,Bregenz,2011,Estimate - de jure,27784
Austria,Bregenz,2012,Estimate - de jure,28007
Austria,Bregenz,2013,Estimate - de jure,28072
Austria,Eisenstadt,2010,Estimate - de jure,12856
Austria,Eisenstadt,2011,Census - de jure - complete tabulation,13101
Austria,Eisenstadt,2011,Estimate - de jure,12995
Austria,Eisenstadt,2012,Estimate - de jure,13165
Austria,Eisenstadt,2013,Estimate - de jure,13351
Austria,Graz,2001,Census - de jure - complete tabulation,226244
Austria,Graz,2005,Estimate - de jure,240278
Austria,Graz,2006,Estimate - de jure,244604
Austria,Graz,2007,Estimate - de jure,247698
Austria,Graz,2008,Estimate - de jure,250653
Austria,Graz,2009,Estimate - de jure,253994
Austria,Graz,2010,Estimate - de jure,257328
Austria,Graz,2011,Census - de jure - complete tabulation,261726
Austria,Graz,2011,Estimate - de jure,261540
Austria,Graz,2012,Estimate - de jure,265318
Austria,Graz,2013,Estimate - de jure,265778
Austria,Innsbruck,2001,Census - de jure - complete tabulation,113392
Austria,Innsbruck,2005,Estimate - de jure,115498
Austria,Innsbruck,2006,Estimate - de jure,116851
Austria,Innsbruck,2007,Estimate - de jure,117693
Austria,Innsbruck,2008,Estimate - de jure,118362
Austria,Innsbruck,2009,Estimate - de jure,118035
Austria,Innsbruck,2010,Estimate - de jure,119249
Austria,Innsbruck,2011,Census - de jure - complete tabulation,119617
Austria,Innsbruck,2011,Estimate - de jure,120147
Austria,Innsbruck,2012,Estimate - de jure,121329
Austria,Innsbruck,2013,Estimate - de jure,122458
Austria,Klagenfurt,2001,Census - de jure - complete tabulation,90141
Austria,Klagenfurt,2006,Estimate - de jure,92160
Austria,Klagenfurt,2009,Estimate - de jure,93478
Austria,Klagenfurt,2010,Estimate - de jure,93949
Austria,Klagenfurt,2011,Census - de jure - complete tabulation,94483
Austria,Klagenfurt,2011,Estimate - de jure,94303
Austria,Klagenfurt,2012,Estimate - de jure,94796
Austria,Klagenfurt,2013,Estimate - de jure,95450
Austria,Linz,2001,Census - de jure - complete tabulation,183504
Austria,Linz,2005,Estimate - de jure,187112
Austria,Linz,2006,Estimate - de jure,188362
Austria,Linz,2007,Estimate - de jure,188894
Austria,Linz,2008,Estimate - de jure,189069
Austria,Linz,2009,Estimate - de jure,189122
Austria,Linz,2010,Estimate - de jure,189311
Austria,Linz,2011,Census - de jure - complete tabulation,189889
Austria,Linz,2011,Estimate - de jure,189367
Austria,Linz,2012,Estimate - de jure,191107
Austria,Linz,2013,Estimate - de jure,191501
Austria,Salzburg,2001,Census - de jure - complete tabulation,142662
Austria,Salzburg,2005,Estimate - de jure,146868
Austria,Salzburg,2006,Estimate - de jure,148473
Austria,Salzburg,2007,Estimate - de jure,149018
Austria,Salzburg,2008,Estimate - de jure,149201
Austria,Salzburg,2009,Estimate - de jure,147732
Austria,Salzburg,2010,Estimate - de jure,147571
Austria,Salzburg,2011,Census - de jure - complete tabulation,145270
Austria,Salzburg,2011,Estimate - de jure,148078
Austria,Salzburg,2012,Estimate - de jure,148521
Austria,Salzburg,2013,Estimate - de jure,145871
Austria,Sankt Pölten,2010,Estimate - de jure,51688
Austria,Sankt Pölten,2011,Census - de jure - complete tabulation,51955
Austria,Sankt Pölten,2011,Estimate - de jure,51956
Austria,Sankt Pölten,2012,Estimate - de jure,52048
Austria,Sankt Pölten,2013,Estimate - de jure,51926
Austria,WIEN,2001,Census - de jure - complete tabulation,1550123
Austria,WIEN,2005,Estimate - de jure,1626440
Austria,WIEN,2006,Estimate - de jure,1651437
Austria,WIEN,2007,Estimate - de jure,1664146
Austria,WIEN,2008,Estimate - de jure,1677867
Austria,WIEN,2009,Estimate - de jure,1687271
Austria,WIEN,2010,Estimate - de jure,1698822
Austria,WIEN,2011,Census - de jure - complete tabulation,1714227
Austria,WIEN,2011,Estimate - de jure,1714142
Austria,WIEN,2012,Estimate - de jure,1731236
Austria,WIEN,2013,Estimate - de jure,1741246
Azerbaijan,BAKU,2003,Estimate - de facto,1834300
Azerbaijan,BAKU,2004,Estimate - de facto,1847500
Azerbaijan,BAKU,2007,Estimate - de facto,1905156
Azerbaijan,BAKU,2008,Estimate - de facto,1928965
Azerbaijan,BAKU,2009,Census - de jure - complete tabulation,2045815
Azerbaijan,BAKU,2009,Estimate - de facto,2052322
Azerbaijan,BAKU,2010,Estimate - de facto,2078485
Azerbaijan,BAKU,2012,Estimate - de facto,2136595
Azerbaijan,Ganja,2003,Estimate - de facto,302700
Azerbaijan,Ganja,2004,Estimate - de facto,303800
Azerbaijan,Ganja,2007,Estimate - de facto,308723
Azerbaijan,Ganja,2008,Estimate - de facto,310433
Azerbaijan,Ganja,2009,Census - de jure - complete tabulation,313249
Azerbaijan,Ganja,2009,Estimate - de facto,313791
Azerbaijan,Ganja,2010,Estimate - de facto,315454
Azerbaijan,Ganja,2012,Estimate - de facto,322030
Azerbaijan,Sumgayit,2003,Estimate - de facto,290200
Azerbaijan,Sumgayit,2004,Estimate - de facto,291600
Azerbaijan,Sumgayit,2007,Estimate - de facto,298216
Azerbaijan,Sumgayit,2008,Estimate - de facto,302395
Azerbaijan,Sumgayit,2009,Census - de jure - complete tabulation,309446
Azerbaijan,Sumgayit,2009,Estimate - de facto,310346
Azerbaijan,Sumgayit,2010,Estimate - de facto,313290
Azerbaijan,Sumgayit,2012,Estimate - de facto,321957
Bahamas,NASSAU,2009,Estimate - de facto,244400
Bahrain,MANAMA,2001,Census - de jure - complete tabulation,153395
Barbados,BRIDGETOWN,1980,Census - de facto - complete tabulation,7466
Belarus,Baranovichi,1999,Census - de jure - complete tabulation,167419
Belarus,Baranovichi,2003,Estimate - de jure,168765
Belarus,Baranovichi,2004,Estimate - de facto,168312
Belarus,Baranovichi,2006,Estimate - de facto,167911
Belarus,Baranovichi,2008,Estimate - de facto,168280
Belarus,Baranovichi,2009,Census - de jure - complete tabulation,168240
Belarus,Baranovichi,2009,Estimate - de facto,168858
Belarus,Baranovichi,2009,Estimate - de jure,169531
Belarus,Baranovichi,2010,Estimate - de jure,168596
Belarus,Baranovichi,2011,Estimate - de jure,169468
Belarus,Baranovichi,2012,Estimate - de jure,170263
Belarus,Bobruisk,1999,Census - de jure - complete tabulation,220653
Belarus,Bobruisk,2003,Estimate - de jure,220972
Belarus,Bobruisk,2004,Estimate - de facto,220062
Belarus,Bobruisk,2006,Estimate - de facto,218756
Belarus,Bobruisk,2008,Estimate - de facto,218415
Belarus,Bobruisk,2009,Census - de jure - complete tabulation,215092
Belarus,Bobruisk,2009,Estimate - de facto,218993
Belarus,Bobruisk,2009,Estimate - de jure,219036
Belarus,Bobruisk,2010,Estimate - de jure,215474
Belarus,Bobruisk,2011,Estimate - de jure,216093
Belarus,Bobruisk,2012,Estimate - de jure,216825
Belarus,Borisov,1999,Census - de jure - complete tabulation,150730
Belarus,Borisov,2003,Estimate - de jure,150474
Belarus,Borisov,2004,Estimate - de facto,150148
Belarus,Borisov,2006,Estimate - de facto,149788
Belarus,Borisov,2008,Estimate - de facto,149835
Belarus,Borisov,2009,Census - de jure - complete tabulation,147381
Belarus,Borisov,2009,Estimate - de facto,150006
Belarus,Borisov,2009,Estimate - de jure,149768
Belarus,Borisov,2010,Estimate - de jure,146745
Belarus,Borisov,2011,Estimate - de jure,146159
Belarus,Borisov,2012,Estimate - de jure,145769
Belarus,Brest,1999,Census - de jure - complete tabulation,286438
Belarus,Brest,2003,Estimate - de jure,297301
Belarus,Brest,2004,Estimate - de facto,300124
Belarus,Brest,2006,Estimate - de facto,302348
Belarus,Brest,2008,Estimate - de facto,314843
Belarus,Brest,2009,Census - de jure - complete tabulation,309764
Belarus,Brest,2009,Estimate - de facto,318043
Belarus,Brest,2009,Estimate - de jure,320819
Belarus,Brest,2010,Estimate - de jure,313333
Belarus,Brest,2011,Estimate - de jure,318372
Belarus,Brest,2012,Estimate - de jure,323674
Belarus,Gomel,1999,Census - de jure - complete tabulation,475486
Belarus,Gomel,2009,Census - de jure - complete tabulation,482652
Belarus,Grodno,1999,Census - de jure - complete tabulation,301622
Belarus,Grodno,2003,Estimate - de jure,313584
Belarus,Grodno,2004,Estimate - de facto,316735
Belarus,Grodno,2006,Estimate - de facto,320166
Belarus,Grodno,2008,Estimate - de facto,325835
Belarus,Grodno,2009,Census - de jure - complete tabulation,327540
Belarus,Grodno,2009,Estimate - de facto,338244
Belarus,Grodno,2009,Estimate - de jure,342530
Belarus,Grodno,2010,Estimate - de jure,334299
Belarus,Grodno,2011,Estimate - de jure,342444
Belarus,Grodno,2012,Estimate - de jure,349543
Belarus,Lida,1999,Census - de jure - complete tabulation,100714
Belarus,Lida,2006,Estimate - de facto,96278
Belarus,Lida,2009,Census - de jure - complete tabulation,97629
Belarus,MINSK,1999,Census - de jure - complete tabulation,1677137
Belarus,MINSK,2003,Estimate - de jure,1733854
Belarus,MINSK,2004,Estimate - de facto,1765773
Belarus,MINSK,2006,Estimate - de facto,1789098
Belarus,MINSK,2008,Estimate - de facto,1814822
Belarus,MINSK,2009,Census - de jure - complete tabulation,1836808
Belarus,MINSK,2009,Estimate - de facto,1829084
Belarus,MINSK,2009,Estimate - de jure,1843743
Belarus,MINSK,2010,Estimate - de jure,1853888
Belarus,MINSK,2011,Estimate - de jure,1874579
Belarus,MINSK,2012,Estimate - de jure,1893063
Belarus,Mogilev,1999,Census - de jure - complete tabulation,356457
Belarus,Mogilev,2003,Estimate - de jure,364587
Belarus,Mogilev,2004,Estimate - de facto,366873
Belarus,Mogilev,2006,Estimate - de facto,368481
Belarus,Mogilev,2008,Estimate - de facto,370638
Belarus,Mogilev,2009,Census - de jure - complete tabulation,358279
Belarus,Mogilev,2009,Estimate - de facto,371982
Belarus,Mogilev,2009,Estimate - de jure,372651
Belarus,Mogilev,2010,Estimate - de jure,359853
Belarus,Mogilev,2011,Estimate - de jure,362140
Belarus,Mogilev,2012,Estimate - de jure,365101
